Name,Type,Address,Website,Phone.Number,latitude,longitude,Charge,type2,type3
Safari Nation,Indoor playground,"3191 Peters Creek Parkway,Winston Salem, NC 27127",https://www.thesafarination.com/winston-salem/,(336) 523-3355,36.04411977,-80.25966623,$,,
Safari Nation,Indoor playground,"3900-H W. Market St.Greensboro, NC 27407",https://www.thesafarination.com/greensboro/,336-315-5115,36.069959,-79.852941,$,,
Seymour Johnson Air Force Base Kiddie Hawk Playground (Free),Indoor playground,"1515 Goodson St, Goldsboro, NC 27531",https://sjfss.com/kiddie-hawk-playground/, (919) 722-8684,35.35222186,-77.96782967,$,,
Spirited Sprout,Indoor playground,"136 Waxhaw Pkwy suite d, Waxhaw, NC 28173",https://www.spiritedsproutplay.com, (704) 776-6472,34.93333568,-80.75157741,$,,
Steele Creek Community Place,Indoor playground,"13501 S Tryon St, Charlotte, NC 28278",https://www.steelecreekcommunityplace.org,,35.097559,-80.996681,Free ,Storytime & classes,Other
The Baby Bar,Indoor playground,"1500 Mill St #106, Greensboro, NC 27408",https://www.thebabybargreensboro.com, (336) 485-8237,36.0885708,-79.81160798,$,,
The Bunny Hive Charlotte,Social Club,"1207 East Blvd, Charlotte, NC 28203",https://thebunnyhive.com/charlotte,(704) 877-5576 ,35.203524,-80.846284,$,Storytime & classes,Other
The Bunny Hive Raleigh,Social Club,"711 W Lane St, Raleigh, NC 27603",https://thebunnyhive.com/raleigh,(919) 623-3376,35.78416678,-78.64925538,$,Storytime & classes,Other
The Cub House Play Cafe,Indoor playground,"1621 NC-42, Clayton, NC 27520",https://cubhouseplayspace.com,(919) 585-2066,35.64678397,-78.41395085,$,,
The Fun Factory,Indoor playground,"120 N Church St Salisbury, Rowan County 28144",https://www.thefunfactorydowntown.com,(980) 565-5494,35.66857164,-80.47077667,$,,
The Fun Train Playground,Indoor playground,"2617 Executive Point Dr, Monroe, NC 28110",https://funtrainplayground.com, (704) 776-4181,35.04734869,-80.61418832,$,,
The Wonder Lab,Indoor playground,"3709-A University Drive Durham, NC 27707",https://www.wonderlabdurham.com,919-213-8527,35.96690868,-78.94960001,$,,
Town Of Fun,Indoor playground,"1000 Lower Shiloh Way Suite 100, Morrisville, NC 27560",https://www.townoffun.com,(919) 797-0112,35.86477722,-78.84613547,$,,
Uwharrie Play Oasis,Indoor playground,"805 N 1st Street Albemarle, NC 28001",https://linktr.ee/uwharrieplayoasis, (704) 550-5206,35.36312499,-80.19872802,$,,
Velocity 360 Fun Zone,Indoor playground,"4435 Monument Trce, Greensboro, NC 27409",https://www.velocity360funzone.com, (336) 554-4922,36.05047,-79.936061,$,,
We Kan Go Play,Indoor playground,"226 S Main Street Mount Holly, NC 28120",https://www.wekangoplay.com,(704) 820-8989,35.2952431,-81.01646238,$,,
Wingheaven ,Nature Center,"260 Ridgewood Ave Charlotte, NC, 28209",https://winghavengardens.org,(704) 331-0664,35.179059,-80.8413,Fee,Storytime & classes,Other
